company_id,year
SBILIFE,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
SBIN,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
SHREECEM,"{'Mar 2019', 'Mar 2020', 'Mar 2024', 'Jun 2015', 'Mar 2022', 'Mar 2016', 'Jun 2013', 'Mar 2017', 'Mar 2023', 'Jun 2014', 'Mar 2021', 'Mar 2018'}"
SHRIRAMFIN,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
SIEMENS,"{'Sep 2016', 'Sep 2018', 'Sep 2014', 'Sep 2020', 'Sep 2021', 'Sep 2015', 'Sep 2017', 'Sep 2011', 'Sep 2024', 'Sep 2022', 'Sep 2023', 'Sep 2019'}"
SUNPHARMA,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
TATACONSUM,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
TATAMOTORS,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
TATAPOWER,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
TATASTEEL,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
TCS,"{'Mar-15', 'Mar 2015', 'Mar 2024', 'Mar 2013', 'Mar-24', 'Mar-23', 'Mar 2020', 'Mar-20', 'Mar 2014', 'Mar 2018', 'Mar-13', 'Mar-21', 'Mar 2022', 'Mar 2017', 'Mar-22', 'Mar-17', 'Mar 2019', 'Mar-18', 'Mar 2016', 'Mar-19', 'Mar 2023', 'Mar-16', 'Mar-14', 'Mar 2021'}"
TECHM,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
TITAN,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
TORNTPHARM,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
