company_id,year
PNB,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Mar 2017'}"
POWERGRID,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
RECLTD,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
RELIANCE,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
SBILIFE,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
SHREECEM,"{'Mar 2018', 'Jun 2015', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Jun 2013', 'Mar 2016', 'Jun 2014', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
SHRIRAMFIN,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
SIEMENS,"{'Sep 2023', 'Sep 2014', 'Sep 2019', 'Sep 2016', 'Sep 2011', 'Sep 2018', 'Sep 2021', 'Sep 2022', 'Sep 2024', 'Sep 2017', 'Sep 2015', 'Sep 2020'}"
SUNPHARMA,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TATACONSUM,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TATAMOTORS,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TATAPOWER,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TATASTEEL,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TCS,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TECHM,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TITAN,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TORNTPHARM,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TRENT,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TVSMOTOR,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ULTRACEMCO,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
UNIONBANK,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Mar 2017'}"
UNITDSPR,"{'2013', '2021', '2024', '2018', '2024.5', '2016', '2020', '2019', '2014', '2022', '2023', '2017', '2015'}"
VEDL,"{'2013', '2021', '2024', '2018', '2024.5', '2016', '2020', '2019', '2014', '2022', '2023', '2017', '2015'}"
WIPRO,"{'2013', '2021', '2024', '2018', '2024.5', '2016', '2020', '2019', '2014', '2022', '2023', '2017', '2015'}"
ZOMATO,"{'2021', '2024', '2018', '2024.5', '2020', '2019', '2022', '2023'}"
ZYDUSLIFE,"{'2013', '2021', '2024', '2018', '2024.5', '2016', '2020', '2019', '2014', '2022', '2023', '2017', '2015'}"
